year,month,day,home_team,away_team,home_score,away_score,tournament,country,neutral
1872,11,30,Scotland,England,0,0,Friendly,Scotland,FALSE
1873,3,8,England,Scotland,4,2,Friendly,England,FALSE
1874,3,7,Scotland,England,2,1,Friendly,Scotland,FALSE
1875,3,6,England,Scotland,2,2,Friendly,England,FALSE
1876,3,4,Scotland,England,3,0,Friendly,Scotland,FALSE
1876,3,25,Scotland,Wales,4,0,Friendly,Scotland,FALSE
1877,3,3,England,Scotland,1,3,Friendly,England,FALSE
1877,3,5,Wales,Scotland,0,2,Friendly,Wales,FALSE
1878,3,2,Scotland,England,7,2,Friendly,Scotland,FALSE
1878,3,23,Scotland,Wales,9,0,Friendly,Scotland,FALSE
1879,1,18,England,Wales,2,1,Friendly,England,FALSE
1879,4,5,England,Scotland,5,4,Friendly,England,FALSE
1879,4,7,Wales,Scotland,0,3,Friendly,Wales,FALSE
1880,3,13,Scotland,England,5,4,Friendly,Scotland,FALSE
1880,3,15,Wales,England,2,3,Friendly,Wales,FALSE
1880,3,27,Scotland,Wales,5,1,Friendly,Scotland,FALSE
1881,2,26,England,Wales,0,1,Friendly,England,FALSE
1881,3,12,England,Scotland,1,6,Friendly,England,FALSE
1881,3,14,Wales,Scotland,1,5,Friendly,Wales,FALSE
1882,2,18,Ireland,England,0,13,Friendly,Ireland,FALSE
1882,2,25,Wales,Ireland,7,1,Friendly,Wales,FALSE
1882,3,11,Scotland,England,5,1,Friendly,Scotland,FALSE
1882,3,13,Wales,England,5,3,Friendly,Wales,FALSE
1882,3,25,Scotland,Wales,5,0,Friendly,Scotland,FALSE
1883,2,3,England,Wales,5,0,Friendly,England,FALSE
1883,2,24,England,Ireland,7,0,Friendly,England,FALSE
1883,3,10,England,Scotland,2,3,Friendly,England,FALSE
1883,3,12,Wales,Scotland,0,3,Friendly,Wales,FALSE
1883,3,17,Ireland,Wales,1,1,Friendly,Ireland,FALSE
1884,1,26,Ireland,Scotland,0,5,British Championship,Ireland,FALSE
1884,2,9,Wales,Ireland,6,0,British Championship,Wales,FALSE
1884,2,23,Ireland,England,1,8,British Championship,Ireland,FALSE
1884,3,15,Scotland,England,1,0,British Championship,Scotland,FALSE
1884,3,17,Wales,England,0,4,British Championship,Wales,FALSE
1884,3,29,Scotland,Wales,4,1,British Championship,Scotland,FALSE
1885,2,28,England,Ireland,4,0,British Championship,England,FALSE
1885,3,14,Scotland,Ireland,8,2,British Championship,Scotland,FALSE
1885,3,14,England,Wales,1,1,British Championship,England,FALSE
1885,3,21,England,Scotland,1,1,British Championship,England,FALSE
1885,3,23,Wales,Scotland,1,8,British Championship,Wales,FALSE
1885,4,11,Ireland,Wales,2,8,British Championship,Ireland,FALSE
1886,2,27,Wales,Ireland,5,0,British Championship,Wales,FALSE
1886,3,13,Ireland,England,1,6,British Championship,Ireland,FALSE
1886,3,20,Ireland,Scotland,2,7,British Championship,Ireland,FALSE
1886,3,27,Scotland,England,1,1,British Championship,Scotland,FALSE
1886,3,29,Wales,England,1,3,British Championship,Wales,FALSE
1886,4,10,Scotland,Wales,4,1,British Championship,Scotland,FALSE
1887,2,5,England,Ireland,7,0,British Championship,England,FALSE
1887,2,19,Scotland,Ireland,4,1,British Championship,Scotland,FALSE
1887,2,26,England,Wales,4,0,British Championship,England,FALSE
1887,3,12,Ireland,Wales,4,1,British Championship,Ireland,FALSE
1887,3,19,England,Scotland,2,3,British Championship,England,FALSE
1887,3,21,Wales,Scotland,0,2,British Championship,Wales,FALSE
1888,2,4,England,Wales,5,1,British Championship,England,FALSE
1888,3,3,Wales,Ireland,11,0,British Championship,Wales,FALSE
1888,3,10,Scotland,Wales,5,1,British Championship,Scotland,FALSE
1888,3,17,Scotland,England,0,5,British Championship,Scotland,FALSE
1888,3,24,Ireland,Scotland,2,10,British Championship,Ireland,FALSE
1888,4,7,Ireland,England,1,5,British Championship,Ireland,FALSE
1889,2,23,England,Wales,4,1,British Championship,England,FALSE
1889,3,2,England,Ireland,6,1,British Championship,England,FALSE
1889,3,9,Scotland,Ireland,7,0,British Championship,Scotland,FALSE
1889,4,13,England,Scotland,2,3,British Championship,England,FALSE
1889,4,15,Wales,Scotland,0,0,British Championship,Wales,FALSE
1889,4,27,Ireland,Wales,1,3,British Championship,Ireland,FALSE
1890,2,8,Wales,Ireland,5,2,British Championship,England,TRUE
1890,3,15,Ireland,England,1,9,British Championship,Ireland,FALSE
1890,3,15,Wales,England,1,3,British Championship,Wales,FALSE
1890,3,22,Scotland,Wales,5,0,British Championship,Scotland,FALSE
1890,3,29,Ireland,Scotland,1,4,British Championship,Ireland,FALSE
1890,4,5,Scotland,England,1,1,British Championship,Scotland,FALSE
1891,2,7,Ireland,Wales,7,2,British Championship,Ireland,FALSE
1891,3,7,England,Wales,4,1,British Championship,England,FALSE
1891,3,7,England,Ireland,6,1,British Championship,England,FALSE
1891,3,21,Wales,Scotland,3,4,British Championship,Wales,FALSE
1891,3,28,Scotland,Ireland,2,1,British Championship,Scotland,FALSE
1891,4,4,England,Scotland,2,1,British Championship,England,FALSE
1892,2,27,Wales,Ireland,1,1,British Championship,Wales,FALSE
1892,3,5,Ireland,England,0,2,British Championship,Ireland,FALSE
1892,3,5,Wales,England,0,2,British Championship,Wales,FALSE
1892,3,19,Ireland,Scotland,2,3,British Championship,Ireland,FALSE
1892,3,26,Scotland,Wales,6,1,British Championship,Scotland,FALSE
1892,4,2,Scotland,England,1,4,British Championship,Scotland,FALSE
1893,2,25,England,Ireland,6,1,British Championship,England,FALSE
1893,3,13,England,Wales,6,0,British Championship,England,FALSE
